block,logical_top,physical_top,implementation,priority,phase,reservation,current_gate,blocking_issue,promotion_policy
tx_packet_core,spadmic_tx_packet_core,spadmic_digital_assembly_v1_p00_tx,SOFT_SYNTHESIZED,0,p00_tx,tx_packet,RTL_INCLUDED_IN_FRESH_PHASE,phase timing placement and exact-GDS closure not run,FRESH_PHASE_BASE_DRC_AND_LVS
tx_ddr_strip,spadmic_tx_ddr_strip,spadmic_digital_assembly_v1_p00_tx,SOFT_SYNTHESIZED,0,p00_tx,tx_ddr_strip,RTL_INCLUDED_IN_FRESH_PHASE,phase timing PG and exact-GDS closure not run,FRESH_PHASE_BASE_DRC_AND_LVS
position_core,spadmic_position_core,spadmic_digital_assembly_v1_p01_position,SOFT_SYNTHESIZED,1,p01_position,position,RTL_INCLUDED_IN_FRESH_PHASE,p00 review and phase closure pending,FRESH_PHASE_BASE_DRC_AND_LVS
event_coordinator,spadmic_event_coordinator,spadmic_digital_assembly_v1_p02_event_control,SOFT_SYNTHESIZED,2,p02_event_control,event,RTL_INCLUDED_IN_FRESH_PHASE,p01 review and phase closure pending,FRESH_PHASE_BASE_DRC_AND_LVS
matrix_or_tree,spadmic_matrix_or_tree,spadmic_digital_assembly_v1_p03_matrix_interface,SOFT_SYNTHESIZED,3,p03_matrix_interface,matrix_or,RTL_INCLUDED_IN_FRESH_PHASE,p02 review and matrice5 pin contract pending,FRESH_PHASE_BASE_DENSITY_LVS
matrix_snapshot_frontend,spadmic_matrix_snapshot_frontend,spadmic_digital_assembly_v1_p03_matrix_interface,SOFT_SYNTHESIZED,3,p03_matrix_interface,matrix_snapshot_reset,RTL_INCLUDED_IN_FRESH_PHASE,p02 review and matrice5 pin contract pending,FRESH_PHASE_BASE_DENSITY_LVS
matrix_reset_ctrl,spadmic_matrix_reset_ctrl,spadmic_digital_assembly_v1_p03_matrix_interface,SOFT_SYNTHESIZED,3,p03_matrix_interface,matrix_snapshot_reset,RTL_INCLUDED_IN_FRESH_PHASE,p02 review and matrice5 pin contract pending,FRESH_PHASE_BASE_DENSITY_LVS
matrix_cfg_ctrl,spadmic_matrix_cfg_ctrl,spadmic_digital_assembly_v1_p03_matrix_interface,SOFT_SYNTHESIZED,3,p03_matrix_interface,matrix_cfg,RTL_INCLUDED_IN_FRESH_PHASE,p02 review and matrice5 pin contract pending,FRESH_PHASE_BASE_DENSITY_LVS
mptdc_frontend,spadmic_tdc3_frontend,spadmic_digital_assembly_v1_p04_mptdc_frontend,DEFERRED,4,p04_mptdc_frontend,mptdc_frontend,BLOCKED_ABSTRACT_MISSING,final MPTDC abstracts and exact pin contract are unavailable,NO_PROMOTION_WHILE_BLOCKED
csr_i2c,spadmic_matrix_top_csr,spadmic_digital_assembly_v1_p05_csr_i2c,DEFERRED,5,p05_csr_i2c,csr_i2c,DEFERRED,pad and control-plane physical contract deferred,NO_PROMOTION_WHILE_DEFERRED
