side,order,signal_or_group,direction,voltage_domain,notes
NORTH,10,ddr_data_l_o[15:0],output,1V8,Future DDR16 macro boundary; low priority until DDR macro contract is available.
NORTH,20,ddr_data_h_o[15:0],output,1V8,Future DDR16 macro boundary; low priority until DDR macro contract is available.
NORTH,30,ddr_pair_valid_o,output,1V8,Future DDR16 macro boundary valid marker.
NORTH,40,ddr_clk_o,output,1V8,Future DDR forwarded-clock policy is provisional.
SOUTH,10,async_rst_n,input,1V8,Global asynchronous reset entry; deassertion handling must remain reviewed.
SOUTH,20,clk_sys,input,1V8,160 MHz digital control/acquisition clock.
SOUTH,30,clk_cfg_40m,input,1V8,Separate PLL-generated 40 MHz matrix configuration clock.
SOUTH,40,clk_ref_40m,input,1V8,40 MHz MPTDC STOP reference.
SOUTH,50,i2c_scl_i,input,1V8,I2C control plane.
SOUTH,60,i2c_sda_i,input,1V8,I2C bidirectional data input.
SOUTH,70,i2c_sda_oe_o,output,1V8,I2C SDA output enable.
INTERNAL,10,matrice3,macro,MIXED_SIGNAL,"Matrix macro on left side, vertically centered; pins use normalized ll_* CSV coordinates."
INTERNAL,20,VTUNE,analog,ANALOG,Matrix analog-owned tuning pin; keep out of digital route/pin grouping.
INTERNAL,30,matrix_supplies,pg,MIXED_SIGNAL,Matrix supply pins are analog/macro-owned until power handoff is finalized.
